num_L3,num_clusters,noise_ratio,coverage,accuracy_pct,purity,avg_L3_per_cluster,ARI,NMI,model,eps,min_samples
56,76,0.6470862833579709,0.3529137166420291,89.81481481481481,0.8981481481481481,1.1842105263157894,0.5997543239437173,0.8591196418688835,sentence-transformers/all-MiniLM-L6-v2,0.14,15
56,68,0.711351435462538,0.288648564537462,89.59568733153638,0.8959568733153639,1.1323529411764706,0.5344478799306595,0.8398627026067035,sentence-transformers/all-MiniLM-L6-v2,0.12,15
56,37,0.7365595580798258,0.26344044192017424,87.33018310691081,0.8733018310691081,1.2432432432432432,0.6540527016851004,0.8881451603083199,sentence-transformers/all-MiniLM-L6-v2,0.14,25
56,29,0.7875204232474908,0.21247957675250917,86.08568290003662,0.8608568290003662,1.206896551724138,0.594912793150546,0.8650941330971219,sentence-transformers/all-MiniLM-L6-v2,0.12,25
56,21,0.7892320858943437,0.21076791410565632,84.75452196382429,0.8475452196382429,1.2857142857142858,0.6684864585343024,0.8903065563236888,sentence-transformers/all-MiniLM-L6-v2,0.14,35
56,41,0.6870769470162608,0.31292305298373924,84.63451019393337,0.8463451019393337,1.3414634146341464,0.6121187362016481,0.8731592853231722,sentence-transformers/all-MiniLM-L6-v2,0.16,25
56,19,0.8229985217458959,0.17700147825410406,83.6043956043956,0.8360439560439561,1.368421052631579,0.5835257942598298,0.8312557848559676,sentence-transformers/all-MiniLM-L6-v2,0.12,35
56,24,0.7476075624367852,0.25239243756321483,83.47718865598027,0.8347718865598027,1.3333333333333333,0.6549434973623895,0.9052372265994001,sentence-transformers/all-MiniLM-L6-v2,0.16,35
56,81,0.5917684587255894,0.40823154127441064,83.07604345340195,0.8307604345340195,1.2469135802469136,0.5343195583437936,0.8466003906513075,sentence-transformers/all-MiniLM-L6-v2,0.16,15
56,28,0.6858321014549132,0.31416789854508675,75.85438335809806,0.7585438335809807,1.6785714285714286,0.551203789939807,0.8563471507440338,sentence-transformers/all-MiniLM-L6-v2,0.18,35
